Property locality,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Armatree,,,1222500.0,973571.4285714285,187011.16666666666,15300.0,402500.0,1802500.0,90000.0,
Armidale,9468.0,220533.33333333334,406620.0833333333,366149.72860635695,387700.5930232558,460013.4548736462,517301.29928057553,550714.4474637681,547020.1956947163,443333.3333333333
Arncliffe,,,1232357.142857143,1088946.8793103448,2620779.253164557,1721862.6213592233,2446971.0144927534,1747758.4512195121,3525535.3205128205,
Arndell Park,,,,,,,,4160556.3333333335,4694166.666666667,
Arrawarra,,,,2071666.6666666667,788333.3333333334,1035142.8571428572,1126000.0,860000.0,987500.0,
Arrawarra Headland,,,,826428.5714285715,594409.0909090909,1336615.3846153845,1720727.2727272727,1852000.0,1737142.857142857,
Artarmon,,,2196250.0,2813349.1428571427,3022866.6666666665,3512277.777777778,3608681.8181818184,3599638.888888889,3543722.222222222,
Arthurville,,,,,869000.0,,415000.0,1565000.0,,
Arumpo,,,,960000.0,,3550000.0,3786871.5,4080000.0,,
Ashbury,,,1575166.6666666667,1504189.6551724137,1415258.9285714286,2110512.1951219514,2007250.0,3676620.6896551726,2213585.8484848486,
Ashby,,,,583111.1111111111,605875.0,636111.1111111111,1012500.0,854666.6666666666,937527.7272727273,
Ashby Heights,,,,381427.78571428574,537666.6666666666,873333.3333333334,1236250.0,859850.0,765875.0,
Ashby Island,,,,565000.0,,,,,,
Ashcroft,,,512500.0,628128.5714285715,668000.0,741483.3333333334,824968.2285714286,829115.4736842106,889119.0476190476,
Ashfield,,5000000.0,1687166.6666666667,2116088.206896552,1747284.2857142857,2190200.5142857144,2008216.495145631,2594327.551020408,4361976.821052631,
Ashford,,,,292740.8888888889,156404.7619047619,197470.58823529413,1369625.0,493250.0,285458.3333333333,
Ashley,,29658.5,79150.0,44454800.0,606666.6666666666,229846.15384615384,264166.6666666667,394166.6666666667,260416.66666666666,
Ashmont,,,222500.0,206897.62711864407,221479.16666666666,323972.65486725664,360360.0,389763.49275362317,407905.737704918,
Ashtonfield,,,611400.0,585500.0,602470.1492537314,719230.7692307692,819113.108433735,791480.7692307692,1732770.6268656717,800000.0
Asquith,,686884.6153846154,888687.5,1319379.4772727273,1244494.2727272727,2572147.9591836734,2184016.3333333335,1716166.6666666667,1852185.7272727273,
Atholwood,,,450000.0,280000.0,370000.0,887420.625,1300000.0,2150000.0,800000.0,
Attunga,,,1054800.0,387392.85714285716,1055423.076923077,1072472.2222222222,468812.5,1836368.1818181819,461727.2727272727,
Auburn,2328500.0,1600000.0,929500.0,982917.3641975309,1077699.751552795,1277176.9462365592,1581345.8711656441,1509603.0729166667,2249207.607361963,170000.0
Auburn Vale,,,,11099.0,570000.0,1205000.0,508250.0,,850000.0,
Austinmer,,,1493125.0,1281803.5714285714,1545618.391304348,1954612.9032258065,2319772.727272727,2498125.0,1948025.4324324324,
Austral,693388.4615384615,1327209.5220588236,755859.2663934426,784364.8492647059,595282.9442292796,787000.0345609065,1381901.3003663004,1476212.6671490592,1191172.9171270719,834648.0
Austral Eden,,,,750000.0,521250.0,970000.0,,779166.6666666666,710000.0,
Avalon Beach,,,1681358.6,2100513.664596273,2378648.492063492,3293220.8978494625,2963082.2890625,3212565.9197530863,3508652.520547945,6070000.0
Avisford,,5215.0,,510000.0,347000.0,750000.0,672.0,,,
Avoca,,,,3107981.1,4454682.5,2476666.6666666665,3350000.0,10750000.0,6460000.0,
Avoca Beach,,,1200533.3333333333,1241065.0634920634,1348127.4077669904,2036936.1333333333,2124913.4444444445,1632286.8852459015,1771515.4603174604,2625000.0
Avondale,,,675000.0,900125.0,2915404.761904762,2454403.846153846,788500.0,811458.3333333334,737681.8181818182,
