Property locality,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Lake Tabourie,,,,506380.95238095237,451375.0,708071.4285714285,744000.0,680892.8571428572,903750.0,
Lake Wyangan,,,365000.0,570982.8125,502644.44444444444,1193686.0869565217,907214.2857142857,972495.0,896281.5833333334,
Lakelands,,,,783729.1666666666,806347.2222222222,980729.375,1029166.6666666666,1193388.888888889,1250000.0,
Lakemba,,,644400.0,816562.6888888889,945637.5,1497790.9298245613,1206545.4545454546,1424406.25,1533103.66,450000.0
Lakesland,,,1525000.0,942928.5714285715,1244166.6666666667,1885833.3333333333,1828666.6666666667,1456666.6666666667,2108333.3333333335,
Lakewood,,205000.0,557500.0,488483.3333333333,453010.20408163266,444451.06382978725,725117.8571428572,777214.2857142857,908178.75,
Lalalty,,,492750.0,394885.0,,1881553.0,1659159.8333333333,4250000.0,1136507.5,
Lalor Park,,,612916.6666666666,615330.0970873786,671710.4545454546,818270.1366906475,1079199.5762711863,892145.3781512605,989968.9038461539,
Lambs Valley,,,150000.0,1028857.1428571428,955121.2352941176,1503100.0,2211500.0,1669375.0,1452500.0,
Lambton,,,744631.25,636837.8378378379,782606.0606060605,979952.7027027027,1009609.8360655737,1039475.3246753247,1296238.956521739,
Landervale,,,,2500000.0,2776448.5714285714,5142.5,5750000.0,11609.5,1342657.6666666667,
Lane Cove,1021375.0,1024466.6666666666,1881687.5,2042674.1573033708,2387814.492753623,3209514.8571428573,3073932.8358208956,3270881.3518518517,3540887.962962963,
Lane Cove North,,,1915147.0588235294,3926058.8235294116,2096288.4615384615,3367554.2608695654,2679985.4680851065,2590732.4594594594,3234714.285714286,
Lane Cove West,,,1657000.0,2054415.3846153845,2116769.3333333335,2843093.023255814,2787603.4482758623,8565828.666666666,3160129.064516129,
Langley Vale,,,,412833.3333333333,380000.0,,700000.0,,500000.0,
Lanitza,,,,172500.0,334666.6666666667,624066.6666666666,671571.4285714285,444142.85714285716,743333.3333333334,
Lankeys Creek,,,,489000.0,595000.0,583750.0,180000.0,113860.0,1000000.0,
Lansdowne,,341600.0,630000.0,416826.26666666666,274277.64705882355,545087.0588235294,747916.5833333334,500694.44444444444,506428.5714285714,
Lansvale,,,2206750.0,1186904.761904762,764428.5714285715,865676.4705882353,1354060.0,1094291.6666666667,2501500.0,
Lapstone,,,,732920.25,851537.0,1061648.3333333333,1172822.0625,1111666.2222222222,1248854.3846153845,
Larbert,,,,,730000.0,2660500.0,,769250.0,386470.5882352941,
Largs,,,549000.0,591650.0,676209.4594594594,762313.8297872341,907689.4857142858,967922.4137931034,870629.28125,
Larnook,,,590000.0,645833.3333333334,538333.3333333334,1083611.111111111,250000.0,883750.0,862500.0,
Larras Lee,,,,2000000.0,,1252500.0,4365000.0,85083.0,,
Laughtondale,,,,848333.3333333334,2050000.0,1540000.0,1590000.0,547500.0,2416666.6666666665,
Laurel Hill,,,,,,80000.0,898500.0,,,
Laurieton,93500.0,,517000.0,481282.8181818182,468375.0,636735.75,767056.9166666666,740111.1111111111,832732.0,749000.0
Lavadia,,,100000.0,375000.0,5000.0,,450000.0,900000.0,1178333.3333333333,
Lavender Bay,,,,7711666.666666667,7577142.857142857,4993000.0,17275000.0,8887500.0,5011600.0,
Laverstock,,,,596980.5,24038.0,850000.0,,615000.0,1850000.0,
Lavington,,337890.0,8552600.0,298677.7251184834,313944.9925093633,421865.6676646707,476434.0271493213,504814.4656862745,531600.9018867925,270000.0
Lawrence,,7778.666666666667,235273.33333333334,330025.1282051282,327654.6170212766,527217.375,601625.0,556462.9629629629,638287.8787878788,412000.0
Lawson,,,610333.3333333334,575554.6170212766,583666.6229508197,767982.0909090909,841728.5614035088,789403.8461538461,862737.2033898305,
Leadville,,,1650000.0,517500.0,898250.0,143333.33333333334,205000.0,80000.0,404166.6666666667,
Leconfield,,,730000.0,750000.0,625000.0,,1250000.0,1392500.0,1407500.0,
Leeton,,,514789.4736842105,263548.31216931215,1685189.6538461538,333312.10454545455,421372.1516587678,417178.69178082194,584124.461928934,362000.0
Leets Vale,,,,,706000.0,440000.0,470000.0,,1020000.0,
Leeville,,,940000.0,287875.0,493601.0,1406111.111111111,1521972.5,425000.0,628333.3333333334,
Legume,,,,96000.0,465327.5,494500.0,252916.66666666666,781888.8888888889,1238750.0,
Leichhardt,1300000.0,1650000.0,1899264.6764705882,1443805.9784946237,1633634.2611111111,2042538.8790322582,2009931.8684210526,1966422.8383838383,2123038.095238095,
Lemon Tree,,,,1270000.0,,1400000.0,3700000.0,,725000.0,
Lemon Tree Passage,,,782333.3333333334,440830.5084745763,505051.41791044775,590893.1717171717,708148.3235294118,703917.2131147541,716834.9056603773,585000.0
Len Waters Estate,,,,,,,,24750000.0,,
Lenaghan,,,717500.0,1565000.0,1552500.0,,,,,
Lennox Head,301250.0,378137.2549019608,519109.7924528302,1076365.0424242425,873121.7672413794,1669889.2671232878,1577168.3673469387,1681841.463414634,1563466.3513513512,3600000.0
Leonay,,,961333.3333333334,840556.4516129033,930714.725,1044097.6744186047,1228169.3548387096,1192755.8139534884,1241953.488372093,
Leppington,455000.0,408247.67647058825,919380.81,900544.9460227273,554639.9624413146,909960.7418967587,1296764.716981132,1758715.44,1371582.03626943,930000.0
Lerida,,,621250.0,,1150000.0,,,,1690000.0,
Lethbridge Park,,,477500.0,443792.1304347826,502539.0625,621732.0107526882,649610.0,643217.4242424242,736327.2068965518,
Leumeah,,,1041305.5555555555,584464.1041666666,627697.247706422,695558.9777777778,822316.3181818182,801353.4608695653,940643.904,985000.0
Leura,,,1052107.142857143,827709.132231405,903445.1327433628,1162525.9868421052,1236229.7142857143,1148560.0,1162198.7951807228,
Levenstrath,,,,185000.0,,520000.0,475000.0,,885000.0,
Lewinsbrook,,,,,2750000.0,1605000.0,1500000.0,,,
Lewis Ponds,,,490.0,316720.0,490000.0,150000.0,1826666.6666666667,,745000.0,
Lewisham,,,1348888.888888889,1555863.6363636365,1461848.4848484849,1897318.2692307692,2007910.7142857143,2192014.705882353,1900145.8333333333,
Leycester,,,,220000.0,633333.3333333334,1283000.0,1000000.0,760600.0,1180000.0,
Liberty Grove,,,1200000.0,1183285.7142857143,1325777.6,1356411.7647058824,1560000.0,1573333.3333333333,1756750.0,
Lidcombe,,,1454777.7777777778,1184442.7252747254,1858492.141509434,1409486.0632183908,1489570.5882352942,1591989.6762589929,2021827.1311475409,2275000.0
Lidsdale,,,535000.0,309800.0,432166.6666666667,693291.6666666666,456470.5882352941,617285.7142857143,817791.6666666666,925000.0
Lidster,,,1095000.0,834142.8571428572,1187441.6666666667,1641071.4285714286,1711666.6666666667,898173.0,833750.0,
Lightning Ridge,11375.0,18500.0,75009.52380952382,63780.0,72418.0,203154.66666666666,142458.57954545456,93687.80487804877,360532.4411764706,
Lilli Pilli,2000000.0,,1584250.0,1243446.0,1619826.530612245,1523111.568627451,2153500.0,1939000.0,1698666.6666666667,
Lillian Rock,,,,290000.0,728333.3333333334,823000.0,740000.0,336666.6666666667,648333.3333333334,
Lilydale,,,,750000.0,1205000.0,542500.0,1945000.0,770000.0,2300000.0,
Lilyfield,,,1847333.3333333333,1726891.0,2044228.9611650486,2541161.300813008,2308123.38,2388783.116883117,2606475.2475247523,2270000.0
Lilyvale,,,,,2925000.0,,55000.0,,,
Limbri,,,,390000.0,523821.0,1196750.0,986666.6666666666,330075.0,1150000.0,
Limeburners Creek,,,712500.0,513550.71428571426,665500.0,763250.0,539000.0,1212285.7142857143,831666.6666666666,
Limekilns,,,328779.8,2875000.0,426388.4,460333.3333333333,3000000.0,1800000.0,30000.0,
Limerick,,,,7013.8,400000.0,1150000.0,,450000.0,,
Limestone,,,,,,870000.0,,,,
Limpinwood,,,700000.0,783916.6666666666,816250.0,1424062.5,1170000.0,1301666.6666666667,3410000.0,
Linburn,,,,765000.0,807500.0,1737500.0,,,,
Linden,,,,696050.0,591111.1111111111,814043.4166666666,757500.0,755000.0,877066.6666666666,
Lindendale,,,,1842500.0,630000.0,1418142.857142857,1335000.0,1600000.0,500000.0,
Lindesay,,,,30000.0,3000000.0,975000.0,70000.0,4495000.0,60000.0,
Lindesay Creek,,,,160000.0,220000.0,,,,,
Lindfield,2450250.0,2443571.4285714286,2390315.789473684,3159664.285714286,3526869.5280898875,4129480.0,4361165.974683545,4441673.8292682925,4623897.777777778,
Lindifferon,,1347500.0,1265800.0,1062692.6666666667,512141.0,7992250.0,8441400.0,2493040.0,700000.0,
Linley Point,,,,4765000.0,5589777.6,3515833.3333333335,6354000.0,4291666.666666667,2973625.0,
Lionsville,,,,650000.0,,,,,45000.0,
Lisarow,,637500.0,826033.3333333334,719264.6153846154,812541.5064935065,1113815.3595505618,1206665.873015873,1724067.375,1141238.253968254,315000.0
Lismore,,,615000.0,357228.7380952381,383400.0153846154,558985.9813084112,431807.01754385966,353652.5423728814,507949.0086956522,657500.0
Lismore Heights,,,408500.0,391768.31707317074,435987.2549019608,573395.0,683800.074074074,634900.0,695076.9230769231,
Liston,,,,580500.0,565428.5714285715,1267583.3333333333,164000.0,175000.0,270714.28571428574,
Lithgow,,460000.0,309500.0,329526.7786885246,349276.9675324675,417003.7971698113,514795.8352272727,507858.9034090909,540236.6751592357,
Little Back Creek,,,,400000.0,,,,,,
Little Bay,,,2405000.0,1866584.8214285714,2174150.0,2968648.5405405406,2657028.64516129,2933350.0,2644928.5714285714,
Little Billabong,,,4416666.666666667,6334600.0,1933333.3333333333,17849999.666666668,5310064.0,8741250.0,2220000.0,
Little Forest,,,,1025000.0,1521628.4285714286,1327500.0,3750000.0,,2284258.3333333335,
Little Hartley,415000.0,398333.3333333333,700000.0,579333.3333333334,564228.5714285715,897909.0909090909,1163338.888888889,943181.8181818182,1070454.5454545454,
Little Jacks Creek,5328.0,,,,1900000.0,,,500.0,5179333.333333333,
Little Jilliby,,,,2600000.0,,1638566.6666666667,,1180000.0,,
Little Plain,,,1670000.0,230000.0,531000.0,744071.4285714285,741666.6666666666,1590000.0,,
Little River,,,,,,1392500.0,1574000.0,,,
Little Topar,,,75000.0,,,4374994.5,,,8390000.0,
Little Wobby,,,755000.0,693000.0,570000.0,1025800.0,931125.0,1087500.0,951666.6666666666,
Littleton,,,353333.3333333333,349222.22222222225,330531.25,384250.0,460166.6666666667,479125.0,506350.0,
Liverpool,496363.63636363635,662583.3333333334,1051718.75,15802960.386206897,995207.5471698113,1097211.4010416667,1233824.939759036,927965.3333333334,1130851.851851852,
Llanarth,,,296763.15789473685,407774.83720930235,447455.65853658534,839560.7,794022.2222222222,834488.6363636364,886921.4285714285,
Llandilo,759900.0,2242512.5,572164.75,643553.2641509434,1624101.3333333333,2116880.0,2437411.2,2159403.846153846,2167333.2666666666,
Llangothlin,,,15000.0,1958333.3333333333,1031000.0,1530714.2857142857,1242658.3333333333,1546666.6666666667,3660900.0,
Lloyd,,,210000.0,411438.61386138614,314375.0652173913,371746.6666666667,500925.3125,676966.1016949152,707115.4523809524,
Loadstone,,,,167000.0,200000.0,608500.0,1250000.0,,870000.0,
Lochiel,,,230000.0,438313.0,520181.8181818182,646428.5714285715,547500.0,1024562.5,506000.0,
Lochinvar,,236500.0,629820.0,333278.8461538461,312501.69491525425,1257621.8404255318,1092086.8292682928,605263.354609929,595521.7791411043,487000.0
Lockhart,,,630196.8,333161.47222222225,429659.5,205113.3448275862,274927.65,377327.3658536585,1382114.3703703703,
Locksley,,,,225650.0,,,1383333.3333333333,350000.0,,
Loftus,,,1050500.0,985743.2432432432,1009322.3684210526,1377648.148148148,1452686.046511628,1492884.2352941176,1582555.5555555555,520000.0
Loftville,,7108.0,,760000.0,575000.0,1120000.0,,925000.0,,
Logans Crossing,,,230000.0,150000.0,548400.0,1170000.0,260000.0,650000.0,1857500.0,
Logie Brae,,,1329978.5,1243770.3333333333,,696906.0,1662676.5,,2745205.0,
Londonderry,,,1015000.0,1253229.1666666667,1287137.9310344828,1816849.1904761905,2043397.7272727273,1945720.3125,1572338.7096774194,
Long Beach,,,633285.7142857143,457917.80821917806,557936.8421052631,717004.0540540541,858735.2941176471,840396.2264150943,851040.9836065574,
Long Flat,,,85625.0,156875.0,328625.0,1012500.0,571666.6666666666,620000.0,,
Long Jetty,,,848500.0,790362.792079208,806077.3195876288,1174990.1145038167,1165430.5625,1246584.4210526317,1269025.9493670885,500000.0
Long Plain,,,1024786.6666666666,2410000.0,,,950000.0,,1330860.0,
Long Point,,,,881666.6666666666,1173333.3333333333,2180000.0,1420750.0,1017500.0,2033750.0,
Longarm,166672.0,,,5828.0,4800000.0,759750.0,,,,
Longreach,,22159.0,,1348333.3333333333,1950000.0,,,,,
Longueville,,3820000.0,5325000.0,4517727.2727272725,4040137.0476190476,5899057.142857143,6599611.111111111,8637756.756756756,6532125.565217392,
Loomberah,,,655000.0,835000.0,2580900.0,1725222.2222222222,2357000.0,5997628.571428572,1680000.0,
Lords Hill,,,,,,2747485.0,,2166666.6666666665,900000.0,
Lorn,,,421500.0,619715.625,781740.0,934657.4411764706,1033085.3658536585,1050385.7142857143,1126512.5,
Lorne,,760000.0,,687110.0,932583.3333333334,859625.0,1062000.0,1242250.0,1108000.0,
Lost River,,,1200000.0,,546666.6666666666,392500.0,947490.6666666666,1726400.0,,
Lostock,,,2581250.0,392649.0,,,1682500.0,,,
Louisa Creek,,,,197500.0,201666.66666666666,615000.0,590000.0,415000.0,,
Louth,,,,6000.0,32000.0,75000.0,626071.4285714285,17833.333333333332,365000.0,
Louth Park,,334772.7272727273,385200.0,407141.96428571426,513113.8461538461,817027.2727272727,1618375.0,1345136.3636363635,1347511.9047619049,
Lovedale,,,1120000.0,1602333.3333333333,1303636.3636363635,1399500.0,2446666.6666666665,1425833.3333333333,,
Lovett Bay,,,2575500.0,2292200.0,2578333.3333333335,1910000.0,,4225000.0,,
Lowanna,,,683333.3333333334,145083.33333333334,500000.0,329821.4285714286,434772.7272727273,646222.2222222222,341428.5714285714,
Lower Acacia Creek,,,45000.0,910000.0,712375.0,96666.66666666667,,578000.0,395000.0,
Lower Bago,,,8012.0,,198000.0,,,,,
Lower Belford,,,,542000.0,1265416.6666666667,1024977.2727272727,1118917.391304348,1255000.0,1274779.3333333333,1400000.0
Lower Boro,,,60000.0,315426.3,434222.22222222225,892750.0,660000.0,411666.6666666667,762500.0,
Lower Bottle Creek,,,225000.0,277500.0,658105.3333333334,,,600000.0,,
Lower Creek,,,,148500.0,299000.0,455769.23076923075,75000.0,685000.0,253535.0,
Lower Duck Creek,,,,,1800000.0,1010000.0,,850000.0,1150000.0,
Lower Dyraaba,,,398000.0,,423750.0,707500.0,,2185000.0,746666.6666666666,
Lower Lewis Ponds,,50000.0,4619.0,,772500.0,,,,895000.0,
Lower Macdonald,,,806666.6666666666,517712.3076923077,827000.0,966673.0769230769,586409.0909090909,882500.0,656250.0,
Lower Mangrove,,,,705000.0,530000.0,1527500.0,2750000.0,1200000.0,2725000.0,
Lower Pappinbarra,,,,134000.0,642500.0,754800.0,900000.0,836250.0,485000.0,
Lower Peacock,,,330000.0,,620000.0,670000.0,1688075.0,500000.0,790000.0,
Lower Portland,,2800000.0,1165100.0,1045625.0,1218016.45,1463150.0,865450.0,1332636.3636363635,1982000.0,
Lower Southgate,24000.0,,9900.0,1964326.0,370000.0,303348.6666666667,1838750.0,1025000.0,921666.6666666666,
Lowesdale,,,,785894.75,122500.0,247500.0,180000.0,103750.0,3554038.3333333335,
Lowther,,,,525000.0,1101095.0,1340200.0,1478333.3333333333,,766333.3333333334,
Loxford,,,,,,5133333.333333333,5132250.0,1100000.0,,
Lucknow,,,,1038773.7142857143,610000.0,1676250.0,755000.0,1433666.6666666667,1293375.0,
Luddenham,,,1226294.4444444445,3860312.5,3690796.875,7453495.395833333,2989151.515151515,4767523.80952381,9906165.833333334,
Lue,,,211560.0,880000.0,1239857.142857143,473630.0,931666.6666666666,1921941.0,391097.71428571426,
Lugarno,,1260000.0,1176045.4545454546,1224804.5454545454,1420110.4545454546,1696717.043478261,1688137.0967741935,1877642.5714285714,1962289.7538461538,
Lurnea,,,831416.6666666666,638526.3157894737,712321.1685393258,840652.407079646,915270.0,901194.1149425288,1000001.0638297872,500000.0
Luskintyre,,,1829000.0,1009200.0,1538750.0,1937500.0,3125000.0,2847142.8571428573,1961000.0,
Lynchs Creek,,,1250000.0,789125.0,731250.0,921000.0,1728966.6666666667,946666.6666666666,669750.0,
Lyndhurst,,,13266300.0,333666.6666666667,1969350.0,911157.8421052631,309537.5,382750.0,642625.0,
Lynwood,,,300000.0,817900.0,1300000.0,1516666.6666666667,1724000.0,1370000.0,1200000.0,
Mabins Well,,,137174.0,,,1900000.0,,,,
Macdonalds Creek,,,,,,,,,8073333.333333333,
Macksville,,176000.0,210537.5,344777.77777777775,349074.3243243243,478812.3193277311,526916.6666666666,610717.2424242424,605527.5909090909,
Maclean,,,331166.6666666667,399374.9855072464,387851.93506493507,624056.25,707188.3333333334,691201.9230769231,628701.754385965,735000.0
Macmasters Beach,,,2225000.0,1441828.5714285714,1599463.7555555555,2119956.796296296,2507701.1379310344,2728653.846153846,2177437.8684210526,1600000.0
Macquarie Fields,,,550090.9090909091,579305.1948051949,650737.6363636364,782404.1043478261,865104.459770115,823576.5306122449,926766.6788990826,
Macquarie Hills,,,779166.6666666666,611053.8461538461,624757.3333333334,759784.7258064516,910605.7692307692,840089.7608695652,876160.1836734693,349715.0
Macquarie Links,,,867500.0,922843.75,944235.2941176471,1108428.5714285714,1182555.5555555555,1193931.8181818181,1219772.7272727273,
Macquarie Marshes,,,,,1000000.0,,,4111909.0,,
Macquarie Park,2200000.0,,,3609015.888888889,17600000.0,45977500.0,25568750.0,24779444.222222224,41452640.0,
Maddens Plains,,,,,2750000.0,3100000.0,,,1052500.0,
Maffra,,,,103500.0,,1810694.75,905225.0,,810000.0,
Magenta,722500.0,766250.0,839875.0,1034875.0,964712.5,1330050.0,1639230.7692307692,1597211.25,1763333.3333333333,
Magometon,,,,,745000.0,,,,10568700.0,
Maianbar,,,,983000.0,1123166.6666666667,1596888.888888889,1927500.0,1446875.0,1223600.0,
Maimuru,,,104813.0,345000.0,125133.5,1222500.0,882750.0,356625.0,766500.0,
Main Arm,,,495976.8,755562.5,1035790.9230769231,1165217.375,808750.0,1388125.0,1188000.0,
Main Creek,,,80000.0,,753125.0,490000.0,1252500.0,1108333.3333333333,565000.0,
Mairjimmy,,,,,561462.0,,,1950513.5,2246800.0,
Maison Dieu,,,,814500.0,509500.0,774975.0,1144416.6666666667,1475000.0,1160000.0,
Maitland,,630000.0,401750.0,490750.0,490453.488372093,608107.676923077,882646.3414634146,723797.2972972973,681810.2040816327,450000.0
Maitland Bar,3188.0,,,450000.0,225000.0,30000.0,143334.0,92500.0,30000.0,
Maitland Vale,,,328416.6666666667,291230.76923076925,464230.76923076925,1219272.7272727273,1013000.0,1260000.0,1105000.0,
Majors Creek,,,230000.0,323500.0,536277.7777777778,448473.6842105263,315555.55555555556,460545.45454545453,471333.3333333333,610000.0
Malabar,,,2014444.4444444445,2029924.4444444445,2378478.8139534886,3289883.7209302327,3056600.0,3000147.0588235296,3396704.8780487804,
Mallabula,,,395000.0,449470.5882352941,492222.22222222225,523354.1666666667,671175.0,714142.8571428572,754840.9090909091,
Mallan,,,,,23554.0,1075000.0,,2072800.0,370166.6666666667,
Mallanganee,,,13700.0,206125.0,162857.14285714287,655250.0,1013875.0,253333.33333333334,695937.5,
Mallee,,,,,4800000.0,,,,12000000.0,
Maloneys Beach,,,504000.0,457000.0,505819.75,803750.0,868571.4285714285,834000.0,803333.3333333334,
Malua Bay,,,269050.5294117647,548276.3636363636,531520.4411764706,639348.6486486486,875087.2727272727,937450.8103448276,896264.4050632912,
Manar,,,577500.0,858333.3333333334,1512500.0,1165000.0,1050000.0,970000.0,1587000.0,
Manchester Square,,,,,2950000.0,4366666.666666667,,,,
Mandagery,,,931000.0,,,2510500.0,815000.0,415000.0,660000.0,
Mandalong,,,435030.0,345142.85714285716,919888.8888888889,1418500.0,1015166.6666666666,1152000.0,1300000.0,
Mandemar,,,,2500000.0,2452000.0,3025000.0,,2965000.0,2850000.0,
Mandurama,,6313.166666666667,840000.0,134228.55555555556,452687.5,3958477.272727273,285400.0,694000.0,2836250.0,
Mangerton,350000.0,,810000.0,974083.3,940257.1428571428,1217264.6756756757,1500185.7142857143,1446823.5294117648,1420734.375,
Mangoola,,,,,,600000.0,,10662500.0,,
Mangoplah,,,2154438.25,1218172.1666666667,575000.0,180000.0,2588214.6666666665,1246392.5,742675.0,
Mangrove Creek,,,,315000.0,2572650.6666666665,,3250000.0,1775000.0,,
Mangrove Mountain,,,1210000.0,1214500.0,870418.1428571428,1826071.4285714286,3213968.75,2096666.6666666667,2116000.0,
Manildra,,,1175500.0,301927.1818181818,525531.1904761905,438962.8846153846,461666.6666666667,359057.9166666667,488514.3076923077,120000.0
Manilla,,,292623.77777777775,248061.16279069768,277650.0,328403.8686868687,303045.06329113926,448596.6101694915,444551.94805194804,180000.0
Manly,,6130000.0,3271181.8181818184,3196566.230769231,3598983.9452054794,4384180.555555556,4870117.647058823,4661366.666666667,6623336.363636363,
Manly Vale,,,1636923.3333333333,1870678.5714285714,2075138.888888889,2825958.695652174,2551836.1739130435,2659557.6923076925,2919807.6923076925,
Mannering Park,,,535285.7142857143,498050.8510638298,582768.6567164179,778414.4736842106,721988.975,787894.7916666666,813915.3846153846,650000.0
Manning Point,,,,1052500.0,523142.85714285716,515000.0,675785.7142857143,730000.0,540000.0,
Mannus,,,,219000.0,493219.5,2850000.0,980000.0,5005000.0,4600000.0,
Manobalai,,,,,160000.0,,,,1251000.0,
Manton,,,500000.0,712857.1428571428,758750.0,928636.3636363636,872239.3076923077,1208928.5714285714,1482000.0,
Manyana,,295000.0,509000.0,518015.1515151515,545963.6363636364,1091288.0952380951,1388214.2857142857,941152.1739130435,1407222.2222222222,410000.0
Maragle,,295000.0,325000.0,236666.66666666666,3143333.3333333335,408125.0,375000.0,5908693.333333333,3078750.0,
Maraylya,,550038.4615384615,562756.5217391305,870182.6086956522,876271.2181818181,2089996.0,2421999.933333333,2624700.0,2136071.4285714286,
Marayong,,47500.0,655894.6428571428,604548.4352941177,686485.0,852707.155737705,846680.5555555555,945413.5803571428,1071382.5164835164,
March,,,,,1073750.0,1840000.0,,1505000.0,19318.0,
Marchmont,50000.0,,742500.0,692166.6666666666,653500.0,1740666.6666666667,1719250.0,2378333.3333333335,1170000.0,775000.0
Mardi,,,623750.0,684262.5,710053.9682539683,988371.4285714285,1020661.4583333334,973630.04,1083684.7301587302,
Marengo,,,300000.0,756050.0,,1775000.0,410000.0,,,
Mares Run,,,,,440000.0,,,,,
Marinna,,,,,2432500.0,,,,,
Marks Point,,,625000.0,579833.3333333334,870344.8275862068,1103180.0,1315815.7894736843,1362517.2413793104,1130729.125,
Markwell,,,,,537500.0,605000.0,948600.0,692500.0,1050000.0,
Marlee,,,600000.0,416400.0,501250.0,1162487.25,502333.3333333333,457000.0,777083.3333333334,
Marlo Merrican,,,330000.0,335625.0,194500.0,673333.3333333334,,180000.0,813333.3333333334,
Marlow,,,,,510500.0,710000.0,1100000.0,475000.0,186000.0,
Marlowe,,,,68000.0,,,,,900000.0,
Marmong Point,,,526000.0,643641.1764705882,682874.875,852552.5,983312.1428571428,935555.5555555555,967569.4166666666,
Marom Creek,,4655.0,6260.0,538333.3333333334,1561666.6666666667,995000.0,1250000.0,990000.0,595500.0,
Maroota,,7181.0,980000.0,1376666.6666666667,1030625.0,1371105.2631578948,2632350.0,1468125.0,1555208.375,
Maroubra,,2888000.0,2106997.128205128,2087019.2699386503,4973491.712707182,3232032.865248227,2867995.5353535353,3362529.744075829,3513424.838095238,
Marrangaroo,,330000.0,812500.0,618125.0,550925.0,615577.7777777778,714285.7142857143,1045625.0,1032909.0909090909,
Marrar,,,,138573.66666666666,199285.7142857143,958666.6470588235,343800.0,1788250.0,1524831.8,
Marrickville,,789666.6666666666,1879992.1875,1422939.6373056995,1544431.116751269,1952643.71875,1977641.6256157635,2336796.3553299494,2536941.931330472,
Marsden Park,2260400.0,460825.3048780488,1010676.135770235,753175.3142144638,630705.6236641222,1122522.8902714932,1277607.8431818183,1700938.094488189,1522051.619117647,
Marsfield,,,1443277.7777777778,1860910.6382978724,1714146.7674418604,2178188.888888889,2300058.3333333335,2334645.621621622,2490249.55,
Marshall Mount,,,1235000.0,107304.28571428571,10225625.0,4796428.571428572,11702443.333333334,6192000.0,4635000.0,
Marshdale,,,,625000.0,725000.0,690000.0,,,1100000.0,
Marthaguy,,,12616.666666666666,194454.66666666666,1146112.4545454546,2527874.25,1733533.6666666667,350289.75,1486585.5,
Martindale,,,,814856.0,1030000.0,770833.3333333334,1231250.0,1900000.0,653333.3333333334,
Martins Creek,,,,438125.0,438491.6666666667,1050186.8333333333,524340.0,988888.8888888889,941111.1111111111,500000.0
Martinsville,,,,3750000.0,1323333.3333333333,1247500.0,1189774.3333333333,1719166.6666666667,1835000.0,
Marulan,440000.0,329888.8888888889,690837.0,455375.05,617232.0754716981,517491.0714285714,927751.7272727273,1306601.9791666667,612346.5079365079,
Maryland,,,560641.0,611400.009090909,531767.7913043478,683340.3834586466,729060.6880733945,749423.8938053098,768695.793814433,
Marys Mount,,,,,630000.0,525000.0,1377000.0,,2002500.0,
Maryvale,,,153695.0,255433.33333333334,266063.5,991000.0,436020.0,483000.28571428574,849000.0,
Maryville,,,640000.0,885854.3478260869,834308.695652174,1045852.1739130435,1189150.0,1242963.4,1275029.4117647058,
Mascot,869375.0,1012753.6413043478,1131560.8641975308,3644400.846153846,2009299.4,1889361.1181818182,1915809.5853658537,3326885.6794871795,4006924.25,
Matcham,,,2350000.0,2007769.2307692308,1950523.8,2543300.0,2352222.222222222,2376750.5,3002500.0,
Matheson,,,,,,950000.0,3850000.0,466760.0,1525000.0,
Mathoura,,,43498.333333333336,318530.4285714286,186767.74193548388,402750.0,472546.74358974356,412317.9375,632230.1621621621,
Matong,,,11500.0,490300.0,426048.6666666667,146854.54545454544,682502.2222222222,199000.0,1152485.9,
Matraville,,,1701058.8235294118,1755304.9295774647,4527198.850574712,2345345.4752475247,2352417.7215189873,5019296.296296297,3509788.2352941176,
Maude,,,47870000.0,1566021.5714285714,25825.0,3370890.0,5982939.428571428,222054.16666666666,672516.0,
Maules Creek,,,126307.0,2805800.0,95000.0,1466250.0,12962500.0,1583333.3333333333,1634550.0,
Maxwell,,,,,755000.0,3231100.0,170000.0,,1883333.3333333333,
Maybole,,,,330000.0,800000.0,2310000.0,4729.0,4225000.0,,
Mayers Flat,,,,,574911.6666666666,,650000.0,,1100000.0,
Mayfield,,,653416.6666666666,951927.6264367816,619535.7213930348,886010.732718894,903402.518292683,1778063.6577181208,949830.4884792627,
Mayfield East,,,555000.0,552074.074074074,657118.8333333334,852762.8205128205,884888.425,921189.6875,948243.9375,
Mayfield North,,,,1430000.0,,,,,6400000.0,
Mayfield West,,,1104380.0,576484.375,704389.7142857143,811969.1636363637,709963.5757575758,1016044.1176470588,1576685.7142857143,
Mayrung,,,410075.0,176847.25,934160.0,1633412.0,1165550.0,1731750.0,2843951.0,
Mays Hill,,,,661375.0,1025812.5,2690714.285714286,1228714.2857142857,1216833.3333333333,1193333.3333333333,
Mayvale,,,,,,,,5249999.5,,
Mccarrs Creek,,,,3333333.3333333335,2000000.0,1133333.0,,700000.0,2300000.0,
Mccullys Gap,,,,411750.0,571125.0,420000.0,732500.0,,1060000.0,
Mcdougalls Hill,,,357000.0,540650.0,572050.0,421394.44444444444,1044392.8571428572,666142.8571428572,1816812.5,
Mcgraths Hill,,,852500.0,742342.8571428572,762702.7027027027,975384.7818181819,1072970.0,1059116.2790697673,1029444.2173913043,
